FileHeader: Filename,Row,Analysis,Identifier 1,Identifier 2,Peak Nr.,Is Ref.?,Component,Start,Rt,End,Width,Area All,Ampl. 44,Ampl. 45,Ampl. 46,BGD 44,BGD 45,BGD 46,rR 45CO2/44CO2,rR 46CO2/44CO2,d 13C/12C,d 18O/16O,Time Code,Method,Preparation,Comment
18698__SS1.dxf,6,18698,SS1,210331QC SS,1,0,,88.6,108.1,112.4,23.8,32.751,1747,2107,2408,0.3,-0.7,-0.4,1.2065132,1.3784488,-3.824,-26.223,4/1/2021 16:12,SteroidsDB17,Lot 20-376,
18698__SS1.dxf,6,18698,SS1,210331QC SS,2,0,,138.4,158,162.4,24,32.932,1749,2110,2412,0.4,-0.5,-0.2,1.2063188,1.3784552,-3.997,-26.218,4/1/2021 16:12,SteroidsDB17,Lot 20-376,
18698__SS1.dxf,6,18698,SS1,210331QC SS,3,0,,188.3,207.7,212.3,24,32.866,1745,2105,2406,0.5,-0.5,-0.2,1.2062922,1.3784506,-4.02,-26.221,4/1/2021 16:12,SteroidsDB17,Lot 20-376,
18698__SS1.dxf,6,18698,SS1,210331QC SS,4,0,,238.1,257.5,261.9,23.8,32.859,1746,2106,2406,0.5,-0.5,-0.1,1.2062779,1.378456,-4.033,-26.217,4/1/2021 16:12,SteroidsDB17,Lot 20-376,
18698__SS1.dxf,6,18698,SS1,210331QC SS,5,1,,456.9,476.3,480.7,23.8,33.947,1802,2172,2486,4.5,4.4,9.7,1.2054969,1.379411,-4.749,-25.54,4/1/2021 16:12,SteroidsDB17,Lot 20-376,
18698__SS1.dxf,6,18698,SS1,210331QC SS,6,0,AndroOAc,555.7,561.2,569.7,14,3.86,1420,1646,1956,5.4,5.5,12.7,1.1738008,1.3842766,-32.885,-21.927,4/1/2021 16:12,SteroidsDB17,Lot 20-376,
18698__SS1.dxf,6,18698,SS1,210331QC SS,7,0,BDiolOAc2,576.4,581.9,588.8,12.3,3.674,1304,1515,1797,8.3,8.9,16.8,1.1765356,1.3842647,-30.458,-21.914,4/1/2021 16:12,SteroidsDB17,Lot 20-376,
18698__SS1.dxf,6,18698,SS1,210331QC SS,8,0,AdiolOAc2,588.8,594,599.8,11.1,3.792,1402,1627,1927,8.3,8.9,16.8,1.1735722,1.3841087,-33.071,-22.003,4/1/2021 16:12,SteroidsDB17,Lot 20-376,
18698__SS1.dxf,6,18698,SS1,210331QC SS,9,0,TestOAc,674.4,682,694.1,19.6,3.65,1078,1246,1482,6,6.2,13.6,1.1723922,1.3838949,-34.078,-22.039,4/1/2021 16:12,SteroidsDB17,Lot 20-376,
18698__SS1.dxf,6,18698,SS1,210331QC SS,10,0,PDOAc2,698.9,706.4,718.8,19.9,4.105,1116,1300,1542,8.1,8.7,16.6,1.184717,1.3837863,-23.163,-22.108,4/1/2021 16:12,SteroidsDB17,Lot 20-376,
18698__SS1.dxf,6,18698,SS1,210331QC SS,11,1,,789.4,808.8,812.8,23.4,33.804,1794,2163,2474,5.1,5.2,12.4,1.2053385,1.3788064,-4.749,-25.54,4/1/2021 16:12,SteroidsDB17,Lot 20-376,
18698__SS1.dxf,6,18698,SS1,210331QC SS,12,0,,904.8,924.2,928.6,23.8,33.045,1751,2111,2414,0.6,-0.3,1.4,1.205566,1.3787478,-4.546,-25.582,4/1/2021 16:12,SteroidsDB17,Lot 20-376,
18699__SS2.dxf,7,18699,SS2,210331QC SS,1,0,,88.6,108.1,112,23.4,32.841,1749,2110,2412,0.3,-0.6,0,1.2063982,1.3788198,-4.085,-25.986,4/1/2021 16:36,SteroidsDB17,Lot 20-377,
18699__SS2.dxf,7,18699,SS2,210331QC SS,2,0,,138.4,158,162.4,24,32.989,1751,2112,2415,0.5,-0.5,0.2,1.2062962,1.378734,-4.173,-26.047,4/1/2021 16:36,SteroidsDB17,Lot 20-377,
18699__SS2.dxf,7,18699,SS2,210331QC SS,3,0,,188.1,207.7,211.9,23.8,32.926,1747,2107,2409,0.5,-0.4,0.2,1.2063007,1.37874,-4.169,-26.042,4/1/2021 16:36,SteroidsDB17,Lot 20-377,
18699__SS2.dxf,7,18699,SS2,210331QC SS,4,0,,238.1,257.5,261.9,23.8,32.914,1747,2107,2408,0.5,-0.4,0.3,1.2062706,1.3786726,-4.194,-26.09,4/1/2021 16:36,SteroidsDB17,Lot 20-377,
18699__SS2.dxf,7,18699,SS2,210331QC SS,5,0,16-ene,387.9,391.2,395.4,7.5,1.084,767,898,1057,5.1,5.1,9.5,1.1779949,1.3901326,-29.507,-17.93,4/1/2021 16:36,SteroidsDB17,Lot 20-377,
18699__SS2.dxf,7,18699,SS2,210331QC SS,6,1,,456.9,476.3,481.3,24.5,34.046,1806,2177,2491,4.8,4.8,11.4,1.2056668,1.3794487,-4.749,-25.54,4/1/2021 16:36,SteroidsDB17,Lot 20-377,
18699__SS2.dxf,7,18699,SS2,210331QC SS,7,0,EtioOAc,546.1,553.4,556.8,10.7,10.705,3179,3672,4394,6.9,7.3,15.7,1.1761078,1.3849117,-31.003,-21.538,4/1/2021 16:36,SteroidsDB17,Lot 20-377,
18699__SS2.dxf,7,18699,SS2,210331QC SS,8,0,AndroOAc,556.8,561.8,575.8,19,8.121,2916,3367,4036,6.9,7.3,15.7,1.1773907,1.3852428,-29.873,-21.297,4/1/2021 16:36,SteroidsDB17,Lot 20-377,
18699__SS2.dxf,7,18699,SS2,210331QC SS,9,1,,789.4,808.8,812.8,23.4,33.781,1792,2161,2471,4.9,4.9,12.8,1.2054791,1.3789579,-4.749,-25.54,4/1/2021 16:36,SteroidsDB17,Lot 20-377,
18699__SS2.dxf,7,18699,SS2,210331QC SS,10,0,,904.8,924.2,928.2,23.4,33.015,1751,2110,2413,0.6,-0.3,1.7,1.2056834,1.3787527,-4.563,-25.686,4/1/2021 16:36,SteroidsDB17,Lot 20-377,
